condition,timesteps,TDE_initial,TDE_final,TDE_reduction_pct,em_ent_final,nar_ent_final,final_coherence,pattern0_initial_sim,pattern0_final_sim,pattern0_growth,collapsed
REM-like,1200,1.4561825319519317,0.5752388130531895,60.49679209637862,0.9587118833757633,2.9207569328634265e-05,0.9455344236109824,-0.33204516374014104,-132.3748193055375,-132.04277414179737,False
Lucid-like,1200,1.603551731400266,0.575227130105184,64.12793433219149,0.9587118833757631,1.9931568569324174e-10,0.9485875978553667,16.671067713399253,132.80226369975134,116.13119598635208,False
