condition,timesteps,TDE_final,em_ent_final,nar_ent_final
REM-like,400,1.6776931038159417,2.705229002901749,0.13638925518723094
Lucid-like,400,1.8101254176114183,3.0168756958861533,1.9931600603589211e-10
