Condition,Duration_Steps,TDE_Initial,TDE_Final,TDE_Reduction_%,Pattern0_Growth,Final_Coherence
REM-like,600,1.4174,0.5752,59.4,109.6,0.781
Lucid-like,900,1.3323,1.1177,16.1,104.8,0.818
